,company_name,average_salary,average_age,salary/age,銘柄名,市場・商品区分,33業種区分,17業種区分,かふか5分類,かふか4分類
3905,データセクション,585.0,35.7,9586.134453781511,データセクション,グロース（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
7970,信越ポリマー,656.0,44.9,9584.320712694878,信越ポリマー,プライム（内国株式）,化学,素材・化学,産業＆建設,製造
4719,アルファシステムズ,605.0,38.2,9581.806282722513,アルファシステムズ,プライム（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
5921,川岸工業,626.0,40.9,9581.320293398534,川岸工業,スタンダード（内国株式）,金属製品,建設・資材,産業＆建設,製造
3694,オプティム,564.0,33.2,9581.204819277107,オプティム,プライム（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
4216,旭有機材,650.0,44.1,9580.49886621315,旭有機材,プライム（内国株式）,化学,素材・化学,産業＆建設,製造
3664,モブキャスト,629.0,41.3,9579.685230024214,モブキャストホールディングス,グロース（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
2301,学情,542.0,30.67,9578.219758721878,学情,プライム（内国株式）,サービス業,情報通信・サービスその他,テクノロジー＆サービス,サービス
6046,リンクバル,563.0,33.1,9576.102719033232,リンクバル,グロース（内国株式）,サービス業,情報通信・サービスその他,テクノロジー＆サービス,サービス
5262,日本ヒューム,657.0,45.09,9573.053892215568,日本ヒューム,プライム（内国株式）,ガラス・土石製品,建設・資材,産業＆建設,製造
8522,名古屋銀行,624.0,40.7,9566.977886977886,名古屋銀行,プライム（内国株式）,銀行業,銀行,金融＆不動産,サービス
8343,秋田銀行,620.0,40.2,9562.189054726368,秋田銀行,プライム（内国株式）,銀行業,銀行,金融＆不動産,サービス
4680,ラウンドワン,594.0,36.9,9561.951219512195,ラウンドワン,プライム（内国株式）,サービス業,情報通信・サービスその他,テクノロジー＆サービス,サービス
6183,ベルシステム24,648.0,43.92,9560.655737704918,ベルシステム２４ホールディングス,プライム（内国株式）,サービス業,情報通信・サービスその他,テクノロジー＆サービス,サービス
4255,THECOO,565.0,33.4,9557.634730538923,ＴＨＥＣＯＯ,グロース（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
7726,黒田精工,638.0,42.6,9555.023474178404,黒田精工,スタンダード（内国株式）,機械,機械,産業＆建設,製造
6946,日本アビオニクス,682.0,48.7,9550.800821355235,日本アビオニクス,スタンダード（内国株式）,電気機器,電機・精密,テクノロジー＆サービス,製造
3796,いい生活,574.0,34.5,9550.028985507246,いい生活,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
8153,モスフードサービス,637.0,42.5,9547.505882352942,モスフードサービス,プライム（内国株式）,卸売業,商社・卸売,産業＆建設,サービス
